px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.40638	-11.2014	2.83241	8.22048	-0.85348	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	6.90547e-310
4.38485	-11.0664	2.78104	8.1597	-0.871135	4.43713	-11.024	4.45	-11.05	0	1.81614	6.90548e-310
4.37022	-10.9132	2.77406	8.09124	-0.894175	4.45136	-10.93	4.45	-10.95	0	1.81612	6.90547e-310
4.34708	-10.7641	2.76916	8.0354	-0.902393	4.44745	-10.786	4.45	-10.8	0	2.72555	6.90548e-310
4.35763	-10.6096	2.76115	7.96084	-0.930431	4.45788	-10.6457	4.45	-10.65	0	2.72554	6.90547e-310
4.35691	-10.4615	2.75376	7.90079	-0.942568	4.46329	-10.5756	4.45	-10.5	0	2.729	6.90548e-310
4.37581	-10.3097	2.7495	7.83296	-0.960424	4.44057	-10.3382	4.45	-10.35	0	2.72898	6.90547e-310
4.40321	-10.1601	2.74219	7.76185	-0.984777	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	6.90548e-310
4.45374	-10.0098	2.739	7.6837	-1.01062	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	6.90547e-310
4.48552	-9.8651	2.73776	7.6291	-1.00757	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	6.90548e-310
4.551	-9.72056	2.73687	7.55344	-1.02864	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	6.90547e-310
4.56023	-9.57073	2.74404	7.54179	-0.963311	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	6.90548e-310
4.64159	-9.43085	2.74523	7.46666	-0.985239	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	6.90547e-310
4.71687	-9.29679	2.74429	7.40035	-0.999516	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	6.90548e-310
4.82184	-9.15996	2.75408	7.32212	-1.01993	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	6.90547e-310
4.90284	-9.04215	2.75738	7.26312	-1.03018	4.95209	-8.96272	5	-9.05	0.999884	1.99977	6.90548e-310
4.994	-8.93261	2.75854	7.20383	-1.03728	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	6.90547e-310
5.06347	-8.80694	2.75213	7.18334	-0.980057	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	6.90548e-310
5.17964	-8.68513	2.7639	7.12015	-0.98535	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	6.90547e-310
5.27774	-8.58411	2.76562	7.07046	-0.983823	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	6.90548e-310
5.38865	-8.48153	2.77586	7.01789	-0.983873	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	6.90547e-310
5.47785	-8.36868	2.76524	7.00418	-0.919456	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	6.90548e-310
5.58527	-8.26672	2.76372	6.95971	-0.914296	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	6.90547e-310
5.66467	-8.14223	2.75124	6.97269	-0.815606	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	6.90548e-310
5.79222	-8.03613	2.76463	6.92948	-0.810352	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	6.90547e-310
5.88897	-7.92133	2.75662	6.93095	-0.736437	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	6.90548e-310
6.01718	-7.81827	2.76906	6.89474	-0.729343	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	6.90547e-310
6.11275	-7.70151	2.75815	6.90931	-0.640978	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	6.90548e-310
6.23885	-7.60374	2.76605	6.87873	-0.634872	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	6.90547e-310
6.34381	-7.49522	2.75781	6.88672	-0.564309	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	6.90548e-310
6.4666	-7.40327	2.76026	6.86066	-0.55924	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	6.90547e-310
6.58196	-7.32241	2.76469	6.83312	-0.563019	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	6.90548e-310
6.70702	-7.23481	2.77867	6.81153	-0.554458	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	6.90547e-310
6.78699	-7.09621	2.75579	6.88082	-0.392863	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	6.90548e-310
6.90578	-7.00056	2.75661	6.86731	-0.385138	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	6.90547e-310
7.03852	-6.92344	2.7594	6.83771	-0.398459	7.08741	-6.92602	7	-6.85	2.72856	1.81904	6.90548e-310
7.16571	-6.82842	2.76623	6.8251	-0.388841	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	6.90547e-310
7.26237	-6.7073	2.75164	6.87534	-0.270105	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	6.90548e-310
7.38313	-6.6122	2.75381	6.86805	-0.262722	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	6.90547e-310
7.53074	-6.57619	2.76736	6.78862	-0.373353	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	6.90548e-310
7.65243	-6.50215	2.77163	6.7742	-0.368947	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	6.90547e-310
7.77405	-6.41618	2.76583	6.77635	-0.334036	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	6.90548e-310
7.90118	-6.34738	2.75929	6.75884	-0.333822	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	6.90547e-310
8.02755	-6.26865	2.75443	6.75867	-0.303479	8.03231	-6.28406	8	-6.25	2.72931	1.81954	6.90548e-310
8.15874	-6.18994	2.75653	6.74875	-0.296793	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	6.90547e-310
8.25135	-6.08679	2.74187	6.7985	-0.191917	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	6.90548e-310
8.36574	-6.0057	2.74456	6.79797	-0.182995	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	6.90547e-310
8.51469	-5.95404	2.75367	6.75008	-0.24634	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	6.90548e-310
8.65106	-5.88233	2.75647	6.73886	-0.243912	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	6.90547e-310
8.75608	-5.77252	2.74059	6.79388	-0.132412	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	6.90548e-310
